"代號","名稱","成交","最高","最低","漲跌價","漲跌幅","更新日期","3個月最高股價(元)","現距3個月高點跌幅","3個月最低股價(元)","現距3個月低點漲幅","半年最高股價(元)","現距半年高點跌幅","半年最低股價(元)","現距半年低點漲幅","1年最高股價(元)","現距1年高點跌幅","1年最低股價(元)","現距1年低點漲幅"
="4968","立積","183.5","185","178.5","0","0","05/02","248","-26","162","+13.3","248","-26","120.5","+52.3","248","-26","113.5","+61.7"
="4976","佳凌","41.7","42.7","41.7","-1","-2.34","05/02","45.3","-7.95","36.95","+12.9","46.5","-10.3","36","+15.8","49.2","-15.2","35.3","+18.1"
="4977","眾達-KY","72.7","73.3","72.5","-0.3","-0.41","05/02","83.5","-12.9","70.3","+3.41","83.5","-12.9","70.1","+3.71","117","-37.9","68.5","+6.13"
="4989","榮科","26.35","26.5","26.2","-0.15","-0.57","05/02","27.8","-5.22","23.3","+13.1","28.05","-6.06","23.3","+13.1","36.5","-27.8","23.3","+13.1"
="4994","傳奇","126","133","125.5","-7.5","-5.62","05/02","137.5","-8.36","61.8","+104","137.5","-8.36","59.1","+113","137.5","-8.36","39.35","+220"
="4999","鑫禾","33.55","33.6","33.4","-0.05","-0.15","05/02","35.9","-6.55","33.05","+1.51","37.7","-11","33.05","+1.51","38","-11.7","33.05","+1.51"
="5007","三星","57","57","56.7","+0.1","+0.18","05/02","60","-5","54.9","+3.83","60","-5","53.5","+6.54","60","-5","51.8","+10"
="5203","訊連","90.3","90.4","88.5","+1.2","+1.35","05/02","93.9","-3.83","82.9","+8.93","102.5","-11.9","82.9","+8.93","113.5","-20.4","82.9","+8.93"
="5215","科嘉-KY","50","51.2","49.75","-0.6","-1.19","05/02","62.4","-19.9","47.2","+5.93","70.3","-28.9","47.2","+5.93","76.8","-34.9","44.55","+12.2"
="5222","全訊","170","170.5","168.5","0","0","05/02","188","-9.57","157.5","+7.94","188","-9.57","157.5","+7.94","221.5","-23.3","153","+11.1"
="5225","東科-KY","114","114","110","+2","+1.79","05/02","129","-11.6","70.6","+61.5","129","-11.6","55.6","+105","129","-11.6","39.25","+190"
="5234","達興材料","151.5","154.5","150","-1.5","-0.98","05/02","172","-11.9","110.5","+37.1","172","-11.9","91.7","+65.2","172","-11.9","87.6","+72.9"
="5243","乙盛-KY","55.9","56","55.4","-0.1","-0.18","05/02","63.5","-12","52.6","+6.27","63.5","-12","52.6","+6.27","91.9","-39.2","52.6","+6.27"
="5244","弘凱","43.95","44.95","43.6","-0.2","-0.45","05/02","53.5","-17.9","42.65","+3.05","58.8","-25.3","30.1","+46","58.8","-25.3","29.15","+50.8"
="5258","虹堡","126.5","130.5","126.5","-2","-1.56","05/02","148.5","-14.8","121","+4.55","153.5","-17.6","114","+11","153.5","-17.6","80.6","+56.9"
="5269","祥碩","1980","2010","1925","+30","+1.54","05/02","2570","-23","1760","+12.5","2570","-23","1230","+61","2570","-23","836","+137"
="5283","禾聯碩","115.5","115.5","115","+1","+0.87","05/02","117","-1.28","112","+3.12","117","-1.28","107","+7.94","127.5","-9.41","106","+8.96"
="5284","jpp-KY","154.5","158.5","154","-3","-1.9","05/02","239.5","-35.5","124.5","+24.1","239.5","-35.5","106","+45.8","239.5","-35.5","106","+45.8"
="5285","界霖","66.2","66.5","66","-0.1","-0.15","05/02","69.5","-4.75","60.5","+9.42","76.3","-13.2","60.5","+9.42","87","-23.9","60.5","+9.42"
="5288","豐祥-KY","196.5","196.5","192","+2.5","+1.29","05/02","201","-2.24","174","+12.9","201","-2.24","171","+14.9","204","-3.68","165","+19.1"
="5292","華懋","142","143.5","141","0","0","05/02","164.5","-13.7","126.5","+12.3","","","","","","","",""
="5306","桂盟","144.5","144.5","142.5","-1","-0.69","05/02","158","-8.54","126.5","+14.2","158","-8.54","116.5","+24","159","-9.12","116.5","+24"
="5388","中磊","125","125","122","+1","+0.81","05/02","151.5","-17.5","119","+5.04","151.5","-17.5","112.5","+11.1","151.5","-17.5","82.4","+51.7"
="5434","崇越","248","249.5","244","-1.5","-0.6","05/02","272.5","-8.99","190","+30.5","272.5","-8.99","171.5","+44.6","272.5","-8.99","162","+53.1"
="5469","瀚宇博","54.9","55.5","54.7","-1.2","-2.14","05/02","70","-21.6","53","+3.58","70","-21.6","52.6","+4.37","70","-21.6","37.9","+44.9"
="5471","松翰","50.9","50.9","50.5","0","0","05/02","55.5","-8.29","48","+6.04","59.1","-13.9","48","+6.04","59.1","-13.9","42.05","+21"
="5484","慧友","25.8","26.6","24","+1.6","+6.61","05/02","29.3","-11.9","22.35","+15.4","29.6","-12.8","19.75","+30.6","34.1","-24.3","16.65","+55"
="5515","建國","25.5","25.95","24.4","+0.95","+3.87","05/02","29.85","-14.6","17.05","+49.6","29.85","-14.6","13.6","+87.5","29.85","-14.6","13","+96.2"
="5519","隆大","52","52","48.8","+4.65","+9.82","05/02","52","0","31.2","+66.7","52","0","25.2","+106","52","0","21.8","+139"
="5521","工信","15.1","15.5","14.15","+0.95","+6.71","05/02","15.75","-4.13","11.9","+26.9","15.95","-5.33","8.63","+75","15.95","-5.33","7","+116"
="5522","遠雄","80.6","80.6","78","+7.3","+9.96","05/02","80.6","0","54.9","+46.8","80.6","0","54.9","+46.8","80.6","0","54.9","+46.8"
="5525","順天","39.95","40.3","39","+0.8","+2.04","05/02","40.3","-0.87","27.3","+46.3","40.3","-0.87","24.8","+61.1","40.3","-0.87","23.05","+73.3"
="5531","鄉林","13.45","13.45","12.25","+1.2","+9.8","05/02","13.45","0","9.32","+44.3","13.45","0","9.32","+44.3","13.45","0","9.3","+44.6"
="5533","皇鼎","27.5","27.85","26.75","+0.75","+2.8","05/02","28.95","-5.01","22.2","+23.9","28.95","-5.01","19.2","+43.2","28.95","-5.01","17.8","+54.5"
="5534","長虹","129","133","127.5","+1","+0.78","05/02","136.5","-5.49","75.7","+70.4","136.5","-5.49","73.1","+76.5","136.5","-5.49","71.2","+81.2"
="5538","東明-KY","30.4","30.7","30.25","-0.15","-0.49","05/02","34.55","-12","28.4","+7.04","35.8","-15.1","28.4","+7.04","42.7","-28.8","28.4","+7.04"
="5546","永固-KY","32.2","32.6","32.2","0","0","05/02","32.95","-2.28","28.55","+12.8","42.55","-24.3","28.55","+12.8","45.5","-29.2","27.2","+18.4"
="5607","遠雄港","60.1","60.4","58.1","+2","+3.44","05/02","65","-7.54","54.6","+10.1","65","-7.54","47.8","+25.7","85.1","-29.4","46","+30.7"
="5608","四維航","19.7","20.3","19.65","-0.4","-1.99","05/02","20.45","-3.67","18.2","+8.24","25.15","-21.7","17.3","+13.9","25.15","-21.7","17.3","+13.9"
="5706","鳳凰","80","80.8","76.9","+2.3","+2.96","05/02","82.9","-3.5","60.7","+31.8","83.6","-4.31","60.7","+31.8","128.5","-37.7","59.2","+35.1"
="5871","中租-KY","170.5","173.5","170","-2","-1.16","05/02","180.5","-5.54","165","+3.33","195.5","-12.8","165","+3.33","227.5","-25.1","165","+3.33"
"5871A","中租-KY甲特","97.3","97.3","97.3","0","0","05/02","97.7","-0.41","96.3","+1.04","98","-0.71","94.8","+2.64","101.5","-4.14","94.8","+2.64"
="5876","上海商銀","46.95","47.05","46.45","+0.5","+1.08","05/02","49","-4.18","43.8","+7.19","49","-4.18","43.8","+7.19","49","-4.18","41.5","+13.1"
="5880","合庫金","26.45","26.5","26.25","+0.25","+0.95","05/02","26.5","-0.19","25.45","+3.93","27","-2.04","25.05","+5.59","29.65","-10.8","25.05","+5.59"
="5906","台南-KY","60.4","60.4","60.1","-0.5","-0.82","05/02","67.5","-10.5","58.4","+3.42","84.7","-28.7","58.4","+3.42","92.5","-34.7","40.7","+48.4"
="5907","大洋-KY","9.57","9.8","9.22","+0.27","+2.9","05/02","11.4","-16.1","8.22","+16.4","12.45","-23.1","8.22","+16.4","17.15","-44.2","8.22","+16.4"
="6005","群益證","25.8","25.8","24.85","+0.9","+3.61","05/02","25.8","0","15.95","+61.8","25.8","0","14.55","+77.3","25.8","0","12.95","+99.2"
="6024","群益期","56.4","56.5","55.6","+0.7","+1.26","05/02","56.5","-0.18","49.6","+13.7","56.5","-0.18","46.1","+22.3","56.5","-0.18","41.45","+36.1"
="6108","競國","20.55","20.55","20.4","+0.05","+0.24","05/02","24.6","-16.5","19.65","+4.58","24.6","-16.5","18.2","+12.9","24.6","-16.5","17.2","+19.5"
="6112","邁達特","59.2","59.8","57.5","+2.1","+3.68","05/02","76.8","-22.9","54.9","+7.83","77","-23.1","54.9","+7.83","82.6","-28.3","52","+13.8"
="6115","鎰勝","54.2","54.3","52.6","+1.4","+2.65","05/02","54.8","-1.09","46.55","+16.4","54.8","-1.09","44.95","+20.6","54.8","-1.09","44.2","+22.6"
="6116","彩晶","10.2","10.3","10.1","-0.15","-1.45","05/02","12.2","-16.4","9.78","+4.29","12.7","-19.7","9.78","+4.29","14.45","-29.4","9.78","+4.29"
="6117","迎廣","82.7","83.8","81.8","-0.5","-0.6","05/02","114.5","-27.8","67.7","+22.2","114.5","-27.8","42.65","+93.9","114.5","-27.8","14.2","+482"
="6120","達運","17","17.2","16.7","0","0","05/02","19.6","-13.3","14.9","+14.1","19.6","-13.3","13.1","+29.8","20.2","-15.8","9.95","+70.9"
="6128","上福","38.35","38.45","37.95","+0.1","+0.26","05/02","43.65","-12.1","33.55","+14.3","43.65","-12.1","33.1","+15.9","43.65","-12.1","31.65","+21.2"
="6133","金橋","13.7","13.75","13.3","+0.2","+1.48","05/02","16","-14.4","13","+5.38","17.6","-22.2","13","+5.38","20.6","-33.5","12.5","+9.6"
="6136","富爾特","22.8","22.85","22.65","+0.1","+0.44","05/02","25.9","-12","21.75","+4.83","25.9","-12","19.55","+16.6","25.9","-12","18.1","+26"
="6139","亞翔","267","280","266","-5","-1.84","05/02","366","-27","160.5","+66.4","366","-27","125","+114","366","-27","46","+480"
="6141","柏承","17.05","17.15","16.65","-0.05","-0.29","05/02","22.6","-24.6","16.35","+4.28","22.6","-24.6","15.5","+10","22.6","-24.6","15.5","+10"
="6142","友勁","9.68","9.69","9.6","+0.08","+0.83","05/02","11.2","-13.6","9.3","+4.09","11.2","-13.6","9.1","+6.37","14.4","-32.8","9.1","+6.37"
="6152","百一","10.05","10.1","9.9","+0.05","+0.5","05/02","11.5","-12.6","9.55","+5.24","11.75","-14.5","9.49","+5.9","12.35","-18.6","8.98","+11.9"
="6153","嘉聯益","19.75","20","19.6","-0.1","-0.5","05/02","23","-14.1","18.9","+4.5","24.45","-19.2","18.9","+4.5","27.2","-27.4","18.9","+4.5"
="6155","鈞寶","26.6","26.75","26.4","+0.1","+0.38","05/02","28.1","-5.34","25.1","+5.98","30.6","-13.1","25.1","+5.98","30.6","-13.1","22.85","+16.4"
="6164","華興","14.9","15","14.7","+0.1","+0.68","05/02","18.35","-18.8","13.45","+10.8","18.35","-18.8","10.15","+46.8","18.35","-18.8","10.15","+46.8"
="6165","浪凡","39.7","40.1","39.65","-0.35","-0.87","05/02","55.4","-28.3","37.8","+5.03","55.4","-28.3","31.45","+26.2","55.4","-28.3","28.9","+37.4"
="6166","凌華","64","65.8","64","-1.1","-1.69","05/02","77","-16.9","60","+6.67","77","-16.9","57.2","+11.9","86.5","-26","56.2","+13.9"
="6168","宏齊","23.9","24.15","23.9","0","0","05/02","30.2","-20.9","22.1","+8.14","30.2","-20.9","22.1","+8.14","30.2","-20.9","21.5","+11.2"
="6176","瑞儀","207.5","210","196.5","+8.5","+4.27","05/02","210","-1.19","136.5","+52","210","-1.19","125","+66","210","-1.19","108","+92.1"
="6177","達麗","64.3","68.5","63.6","+1","+1.58","05/02","68.5","-6.13","33.5","+91.9","68.5","-6.13","32","+101","68.5","-6.13","29.6","+117"
="6183","關貿","73.8","74","73.6","-0.4","-0.54","05/02","76.3","-3.28","66.6","+10.8","76.3","-3.28","66.3","+11.3","76.3","-3.28","62","+19"
="6184","大豐電","55","55.3","54.2","+0.8","+1.48","05/02","56","-1.79","51.4","+7","56","-1.79","50.3","+9.34","56","-1.79","50","+10"
="6189","豐藝","89.2","90.4","85.1","+3","+3.48","05/02","98.6","-9.53","60.7","+47","98.6","-9.53","54","+65.2","98.6","-9.53","41.25","+116"
="6191","精成科","72.7","73.8","72.5","-0.4","-0.55","05/02","76.6","-5.09","63.2","+15","76.6","-5.09","61.2","+18.8","76.6","-5.09","35.25","+106"
="6192","巨路","108","110","107","-1","-0.92","05/02","116.5","-7.3","89.1","+21.2","116.5","-7.3","81.2","+33","116.5","-7.3","70.2","+53.8"
="6196","帆宣","157","158","156","-1.5","-0.95","05/02","180.5","-13","143","+9.79","180.5","-13","131","+19.8","180.5","-13","124.5","+26.1"
="6197","佳必琪","141.5","142.5","138","-3","-2.08","05/02","179","-20.9","78.3","+80.7","179","-20.9","77.1","+83.5","179","-20.9","51.1","+177"
="6201","亞弘電","61.2","61.8","61.2","-0.4","-0.65","05/02","69.9","-12.4","59","+3.73","69.9","-12.4","49","+24.9","69.9","-12.4","42.75","+43.2"
="6202","盛群","59.2","60.8","58.8","-0.8","-1.33","05/02","62.3","-4.98","52.8","+12.1","70.5","-16","52.8","+12.1","73.4","-19.3","52.8","+12.1"
="6205","詮欣","72.5","73","71.4","+0.9","+1.26","05/02","90","-19.4","69.2","+4.77","90","-19.4","66.7","+8.7","90","-19.4","55.5","+30.6"
="6206","飛捷","85","85","84.3","+0.2","+0.24","05/02","86","-1.16","67.6","+25.7","86","-1.16","61.5","+38.2","86","-1.16","61.1","+39.1"
="6209","今國光","24.9","25","24.7","0","0","05/02","27.3","-8.79","24.25","+2.68","30.4","-18.1","24.25","+2.68","33.15","-24.9","24.25","+2.68"
="6213","聯茂","107.5","109.5","107","-2","-1.83","05/02","128","-16","80.7","+33.2","128","-16","79.8","+34.7","128","-16","62.5","+72"
="6214","精誠","123.5","125","122","-1.5","-1.2","05/02","127.5","-3.14","112","+10.3","127.5","-3.14","100.5","+22.9","127.5","-3.14","85","+45.3"
="6215","和椿","43.1","45.35","42.6","-0.65","-1.49","05/02","50.2","-14.1","26.35","+63.6","50.2","-14.1","23.7","+81.9","50.2","-14.1","23.4","+84.2"
="6216","居易","35.8","35.8","35.45","+0.15","+0.42","05/02","38.15","-6.16","30.15","+18.7","38.15","-6.16","29.5","+21.4","40.1","-10.7","26.2","+36.6"
="6224","聚鼎","53.5","54","52.6","-0.1","-0.19","05/02","61.6","-13.1","51","+4.9","61.6","-13.1","51","+4.9","66.5","-19.5","50.6","+5.73"
="6225","天瀚","16.75","17.75","16.75","0","0","05/02","18.75","-10.7","14.05","+19.2","18.75","-10.7","8.77","+91","18.75","-10.7","8.7","+92.5"
="6226","光鼎","10.05","10.05","9.93","+0.05","+0.5","05/02","12.4","-19","9.7","+3.61","12.4","-19","9.7","+3.61","12.95","-22.4","9.7","+3.61"
="6230","尼得科超眾","334","356","311","+9.5","+2.93","05/02","356","-6.18","135.5","+146","356","-6.18","120.5","+177","356","-6.18","118.5","+182"
="6235","華孚","92.3","93","91.2","-2.7","-2.84","05/02","120","-23.1","81.7","+13","134","-31.1","81.7","+13","183","-49.6","81.7","+13"
="6239","力成","170.5","177.5","168","-4","-2.29","05/02","209.5","-18.6","143.5","+18.8","209.5","-18.6","106","+60.8","209.5","-18.6","92","+85.3"
="6243","迅杰","58.8","59.1","57.9","+0.1","+0.17","05/02","88.5","-33.6","57.4","+2.44","90.4","-35","50.6","+16.2","90.4","-35","35.5","+65.6"
="6257","矽格","77.4","79.5","75.1","+3.2","+4.31","05/02","79.5","-2.64","65","+19.1","79.5","-2.64","59.8","+29.4","79.5","-2.64","49.95","+55"
="6269","台郡","94.7","95.3","90.7","+3.3","+3.61","05/02","95.8","-1.15","83.2","+13.8","95.8","-1.15","83.2","+13.8","99.8","-5.11","82","+15.5"
="6271","同欣電","147","147.5","146","-0.5","-0.34","05/02","158","-6.96","139","+5.76","171.5","-14.3","136","+8.09","196","-25","122","+20.5"
="6277","宏正","80.6","80.6","80.2","0","0","05/02","82.7","-2.54","78.9","+2.15","82.7","-2.54","78.5","+2.68","90.4","-10.8","78.3","+2.94"
="6278","台表科","122","123","118.5","+2.5","+2.09","05/02","123","-0.81","91.9","+32.8","123","-0.81","89.6","+36.2","123","-0.81","86.6","+40.9"
="6281","全國電","84.5","84.5","84.3","+0.1","+0.12","05/02","88.4","-4.41","82.7","+2.18","88.4","-4.41","82.7","+2.18","88.4","-4.41","82.7","+2.18"
="6282","康舒","40","40.05","39","+0.25","+0.63","05/02","45.6","-12.3","38.1","+4.99","45.85","-12.8","37","+8.11","59.5","-32.8","37","+8.11"
="6283","淳安","35.9","36.6","34.6","+1","+2.87","05/02","36.6","-1.91","22.3","+61","36.6","-1.91","22.3","+61","36.6","-1.91","22.3","+61"
="6285","啟碁","152.5","152.5","149","+2","+1.33","05/02","165","-7.58","140.5","+8.54","173.5","-12.1","131.5","+16","173.5","-12.1","81.9","+86.2"
="6288","聯嘉","31.9","32","31.45","-0.05","-0.16","05/02","37.95","-15.9","30.05","+6.16","37.95","-15.9","28.55","+11.7","37.95","-15.9","28.45","+12.1"
="6405","悅城","23.1","23.2","22.95","-0.05","-0.22","05/02","28.95","-20.2","22.95","+0.65","28.95","-20.2","22.9","+0.87","29.8","-22.5","21.8","+5.96"
="6409","旭隼","1450","1570","1450","-100","-6.45","05/02","1815","-20.1","1325","+9.43","1815","-20.1","1310","+10.7","2125","-31.8","1270","+14.2"
="6412","群電","172.5","172.5","168","-1","-0.58","05/02","196","-12","145","+19","196","-12","116.5","+48.1","196","-12","77.1","+124"
="6414","樺漢","326.5","328","321","-1.5","-0.46","05/02","376","-13.2","270.5","+20.7","376","-13.2","248.5","+31.4","376","-13.2","245.5","+33"
="6415","矽力*-KY","426","434.5","417.5","-10.5","-2.41","05/02","438","-2.74","315","+35.2","506","-15.8","312.5","+36.3","506","-15.8","243","+75.3"
="6416","瑞祺電通","115.5","116","112.5","+1","+0.87","05/02","134.5","-14.1","101","+14.4","134.5","-14.1","82.7","+39.7","134.5","-14.1","80.3","+43.8"
="6426","統新","65.8","65.9","64.8","-0.5","-0.75","05/02","81.8","-19.6","61.8","+6.47","99","-33.5","61.8","+6.47","99","-33.5","57","+15.4"
="6431","光麗-KY","12.85","13.6","12.6","-0.55","-4.1","05/02","16.75","-23.3","10.3","+24.8","19.5","-34.1","10.3","+24.8","22.4","-42.6","10.3","+24.8"
="6438","迅得","126","127.5","125","-2","-1.56","05/02","138.5","-9.03","101.5","+24.1","138.5","-9.03","100.5","+25.4","138.5","-9.03","95","+32.6"
="6442","光聖","159.5","159.5","141","+14.5","+10","05/02","161.5","-1.24","90.1","+77","161.5","-1.24","63.7","+150","161.5","-1.24","45.85","+248"
="6443","元晶","27.5","28.05","27.5","-0.35","-1.26","05/02","30.9","-11","26","+5.77","31.4","-12.4","26","+5.77","37.8","-27.2","26","+5.77"
="6446","藥華藥","299.5","307","297","+6","+2.04","05/02","336","-10.9","281","+6.58","384","-22","281","+6.58","392","-23.6","274","+9.31"
="6449","鈺邦","123","126","119.5","-1","-0.81","05/02","138","-10.9","68.6","+79.3","138","-10.9","61.6","+99.7","138","-10.9","50.4","+144"
="6451","訊芯-KY","176.5","183.5","176","-5.5","-3.02","05/02","239.5","-26.3","143.5","+23","239.5","-26.3","116","+52.2","239.5","-26.3","79","+123"
="6456","GIS-KY","61.7","61.8","60.5","+0.4","+0.65","05/02","62.8","-1.75","55.4","+11.4","69","-10.6","55.4","+11.4","80.7","-23.5","55.4","+11.4"
="6464","台數科","85.7","85.9","85.4","-0.2","-0.23","05/02","88.9","-3.6","85.4","+0.35","88.9","-3.6","84.4","+1.54","96.8","-11.5","84","+2.02"
="6472","保瑞","752","780","752","-13","-1.7","05/02","845","-11","612","+22.9","845","-11","604","+24.5","1030","-27","548","+37.2"
="6477","安集","37.1","37.55","37.1","-0.45","-1.2","05/02","42.5","-12.7","35.55","+4.36","42.5","-12.7","35.55","+4.36","58","-36","34.55","+7.38"
="6491","晶碩","532","548","527","+8","+1.53","05/02","548","-2.92","380.5","+39.8","548","-2.92","368","+44.6","548","-2.92","328","+62.2"
="6504","南六","70.6","71","70.5","+0.1","+0.14","05/02","75.4","-6.37","68.3","+3.37","89.2","-20.9","68.3","+3.37","89.2","-20.9","68.3","+3.37"
="6505","台塑化","71.6","72.1","71.3","-0.6","-0.83","05/02","76","-5.79","67.6","+5.92","85.4","-16.2","67.6","+5.92","90","-20.4","67.6","+5.92"
="6515","穎崴","840","849","822","+3","+0.36","05/02","938","-10.4","685","+22.6","938","-10.4","642","+30.8","938","-10.4","571","+47.1"
="6525","捷敏-KY","67.7","68.1","67.6","-0.4","-0.59","05/02","69.8","-3.01","65.4","+3.52","71","-4.65","64.5","+4.96","80","-15.4","62","+9.19"
="6526","達發","690","696","669","+9","+1.32","05/02","725","-4.83","566","+21.9","725","-4.83","418","+65.1","","","",""
="6531","愛普*","373.5","382","373","-6.5","-1.71","05/02","532","-29.8","345","+8.26","555","-32.7","345","+8.26","555","-32.7","271","+37.8"
="6533","晶心科","383","387","379","-4","-1.03","05/02","573","-33.2","370.5","+3.37","573","-33.2","370.5","+3.37","573","-33.2","370.5","+3.37"
="6534","正瀚-創","83.5","84.3","83.1","+0.4","+0.48","05/02","95","-12.1","81","+3.09","","","","","","","",""
="6541","泰福-KY","45.55","46.55","45.45","-1.35","-2.88","05/02","66","-31","44","+3.52","76","-40.1","44","+3.52","89.8","-49.3","44","+3.52"
="6550","北極星藥業-KY","70.2","70.4","68.4","+2.1","+3.08","05/02","78","-10","60.5","+16","81.9","-14.3","60.5","+16","101","-30.5","60.5","+16"
="6552","易華電","49.5","52.3","48.1","0","0","05/02","52.3","-5.35","32.65","+51.6","52.3","-5.35","32.65","+51.6","52.3","-5.35","32.65","+51.6"
="6558","興能高","23.55","24.25","23.35","-0.5","-2.08","05/02","27.5","-14.4","22.2","+6.08","31.45","-25.1","22.2","+6.08","34.5","-31.7","20.2","+16.6"
="6573","虹揚-KY","12.85","12.85","12.75","-0.1","-0.77","05/02","14.95","-14","12.5","+2.8","15.15","-15.2","12.5","+2.8","19.95","-35.6","12.5","+2.8"
="6579","研揚","154.5","155.5","153.5","-1","-0.64","05/02","185.5","-16.7","145","+6.55","185.5","-16.7","134","+15.3","237","-34.8","90.7","+70.3"
="6581","鋼聯","99.8","101.5","98.6","-0.2","-0.2","05/02","101.5","-1.67","88.2","+13.2","101.5","-1.67","86.8","+15","101.5","-1.67","86.3","+15.6"
="6582","申豐","50.8","51","50.6","-0.1","-0.2","05/02","53.4","-4.87","47.9","+6.05","59.4","-14.5","47.9","+6.05","60","-15.3","47.9","+6.05"
="6585","鼎基","195","198","193.5","-3","-1.52","05/02","210.5","-7.36","146.5","+33.1","210.5","-7.36","112.5","+73.3","210.5","-7.36","57.3","+240"
="6591","動力-KY","55.5","56","55","0","0","05/02","74.5","-25.5","48.3","+14.9","74.5","-25.5","47.8","+16.1","74.5","-25.5","46.1","+20.4"
="6592","和潤企業","119.5","119.5","118.5","0","0","05/02","126","-5.16","113","+5.75","132.5","-9.81","113","+5.75","159","-24.8","113","+5.75"
"6592A","和潤企業甲特","97.9","97.9","97.9","0","0","05/02","98.3","-0.41","96.1","+1.87","98.3","-0.41","93.4","+4.82","98.3","-0.41","93.3","+4.93"
"6592B","和潤企業乙特","94.8","94.8","94.8","-0.1","-0.11","05/02","95","-0.21","93.7","+1.17","95.3","-0.52","92.7","+2.27","","","",""
="6598","ABC-KY","19.75","19.85","19.7","0","0","05/02","23.9","-17.4","19.3","+2.33","28.2","-30","19.3","+2.33","28.4","-30.5","19.3","+2.33"
="6605","帝寶","196.5","200","195","-1","-0.51","05/02","236.5","-16.9","146","+34.6","236.5","-16.9","132","+48.9","236.5","-16.9","94.5","+108"
="6606","建德工業","27.15","27.3","27.05","0","0","05/02","28","-3.04","23.45","+15.8","28","-3.04","23.1","+17.5","30.25","-10.2","23.1","+17.5"
="6625","必應","105.5","107","98.1","+7.5","+7.65","05/02","111","-4.95","91.2","+15.7","127","-16.9","82.6","+27.7","155","-31.9","77.6","+36"
="6641","基士德-KY","43.85","43.9","42.6","+0.95","+2.21","05/02","45","-2.56","38.95","+12.6","45.3","-3.2","38.95","+12.6","57.7","-24","38.95","+12.6"
="6645","金萬林-創","39.35","40","39","-0.05","-0.13","05/02","47.4","-17","36.8","+6.93","","","","","","","",""
="6655","科定","117","119.5","117","-2.5","-2.09","05/02","122","-4.1","110.5","+5.88","123","-4.88","110.5","+5.88","132","-11.4","110.5","+5.88"
="6657","華安","55.9","56.2","55.2","+0.3","+0.54","05/02","63.9","-12.5","51.5","+8.54","71.8","-22.1","51.5","+8.54","","","",""
="6658","聯策","41","41.9","41","0","0","05/02","44.65","-8.17","38.7","+5.94","50.4","-18.7","36.55","+12.2","","","",""
="6666","羅麗芬-KY","64.7","65","64.6","+0.4","+0.62","05/02","75.2","-14","61","+6.07","75.2","-14","61","+6.07","90.4","-28.4","60.2","+7.48"
="6668","中揚光","69.5","70.9","69.5","-0.7","-1","05/02","79.7","-12.8","47.6","+46","79.7","-12.8","35.8","+94.1","79.7","-12.8","34.85","+99.4"
="6669","緯穎","2275","2340","2270","-85","-3.6","05/02","2590","-12.2","2030","+12.1","2590","-12.2","1580","+44","2590","-12.2","992","+129"
="6670","復盛應用","269","280","266","-11","-3.93","05/02","282","-4.61","217.5","+23.7","282","-4.61","199.5","+34.8","282","-4.61","190.5","+41.2"
="6671","三能-KY","42.9","43","42.9","-0.1","-0.23","05/02","44.8","-4.24","40.35","+6.32","44.8","-4.24","39.3","+9.16","44.8","-4.24","39","+10"
="6672","騰輝電子-KY","85.5","85.5","83.9","+1.7","+2.03","05/02","98","-12.8","80.6","+6.08","98","-12.8","80.6","+6.08","103.5","-17.4","78.7","+8.64"
="6674","鋐寶科技","23.65","23.65","23.65","0","0","05/02","27.55","-14.2","22.7","+4.19","27.95","-15.4","22.7","+4.19","29.75","-20.5","22.7","+4.19"
="6689","伊雲谷","104","104.5","102.5","+1.5","+1.46","05/02","132","-21.2","98","+6.12","141.5","-26.5","98","+6.12","172.5","-39.7","98","+6.12"
="6691","洋基工程","381.5","383","377","-0.5","-0.13","05/02","419.5","-9.06","326","+17","419.5","-9.06","268","+42.4","419.5","-9.06","235.5","+62"
="6695","芯鼎","53.8","54.5","53.5","-0.7","-1.28","05/02","99.4","-45.9","53.2","+1.13","99.5","-45.9","43.85","+22.7","99.5","-45.9","36.8","+46.2"
="6698","旭暉應材","33.4","33.75","33.1","0","0","05/02","41.25","-19","31","+7.74","41.25","-19","28.15","+18.7","43","-22.3","27.7","+20.6"
="6706","惠特","53.3","53.3","52.1","+0.5","+0.95","05/02","65.8","-19","49","+8.78","70.6","-24.5","49","+8.78","86.7","-38.5","49","+8.78"
="6715","嘉基","160","163.5","159.5","-3","-1.84","05/02","223","-28.3","151","+5.96","223","-28.3","134","+19.4","223","-28.3","109.5","+46.1"
="6719","力智","274","274.5","271","0","0","05/02","320","-14.4","252","+8.73","323.5","-15.3","245.5","+11.6","323.5","-15.3","208","+31.7"
="6742","澤米","80.1","81","79.2","-1.5","-1.84","05/02","93.8","-14.6","68.1","+17.6","","","","","","","",""
="6743","安普新","61","61","59.5","+0.8","+1.33","05/02","62.6","-2.56","45.2","+35","62.6","-2.56","45.05","+35.4","81.8","-25.4","45.05","+35.4"
="6753","龍德造船","115.5","117.5","114","-1.5","-1.28","05/02","141","-18.1","78.7","+46.8","141","-18.1","78.7","+46.8","141","-18.1","78.2","+47.7"
="6754","匯僑設計","63.1","63.6","62.3","+0.7","+1.12","05/02","65.5","-3.66","53.6","+17.7","65.5","-3.66","48.6","+29.8","68.7","-8.15","46.3","+36.3"
